time,user@domain,computer,process_name,start_end
199896,C6507$@DOM1,C6507,P5,End
199896,C6507$@DOM1,C6507,P83,End
199896,C6869$@DOM1,C6869,P16,Start
199896,C7002$@DOM1,C7002,P16,Start
199896,C7466$@DOM1,C7466,P83,Start
199896,C7732$@DOM1,C7732,P169,Start
199896,C815$@DOM1,C815,P30,End
199896,C815$@DOM1,C815,P30,Start
199896,C8331$@DOM1,C8331,P16,Start
199896,C9281$@DOM1,C9281,P4,Start
199896,C9562$@DOM1,C9562,P10,Start
199896,C9647$@DOM1,C9647,P10,Start
199896,C9647$@DOM1,C9647,P13,Start
199896,C9647$@DOM1,C9647,P169,Start
199896,C9647$@DOM1,C9647,P211,Start
199896,C9647$@DOM1,C9647,P44,Start
199896,C9668$@DOM1,C9668,P14,Start
199896,C9704$@DOM1,C9704,P10,Start
199896,LOCAL SERVICE@C1403,C1403,P90,End
199896,LOCAL SERVICE@C1555,C1555,P8,End
199896,U1185@DOM1,C493,P373,Start
199896,U2585@DOM1,C7274,P258,Start
199896,U3124@DOM1,C8435,P152,Start
199896,U3180@DOM1,C8609,P153,Start
199896,U32@DOM1,C815,P28,Start
199896,U32@DOM1,C815,P29,Start
199896,U4250@DOM1,C10523,P153,Start
199896,U5356@DOM1,C12670,P501,Start
199896,U67@C1723,C1723,P59,End
199896,U67@C1723,C1723,P59,Start
199896,U7648@DOM1,C16426,P258,Start
199897,C10289$@DOM1,C10289,P1,Start
199897,C10289$@DOM1,C10289,P245,Start
199897,C1035$@DOM1,C1035,P37,Start
199897,C1035$@DOM1,C1035,P5,Start
199897,C11585$@DOM1,C11585,P16,Start
199897,C11825$@DOM1,C11825,P16,Start
199897,C11886$@DOM1,C11886,P13,Start
199897,C11886$@DOM1,C11886,P14,Start
199897,C12824$@DOM1,C12824,P16,Start
199897,C13179$@DOM1,C13179,P16,Start
199897,C13711$@DOM1,C13711,P16,Start
199897,C13985$@DOM1,C13985,P13,Start
199897,C13985$@DOM1,C13985,P14,Start
199897,C14317$@DOM1,C14317,P16,Start
199897,C14429$@DOM1,C14429,P16,Start
199897,C15457$@DOM1,C15457,P13,Start
199897,C15457$@DOM1,C15457,P14,Start
199897,C1624$@DOM1,C1624,P21,End
199897,C1624$@DOM1,C1624,P50,End
199897,C1624$@DOM1,C1624,P50,Start
199897,C1624$@DOM1,C1624,P86,End
199897,C16352$@DOM1,C16352,P19,Start
199897,C16516$@DOM1,C16516,P16,Start
199897,C17135$@DOM1,C17135,P25,End
199897,C17240$@DOM1,C17240,P265,Start
199897,C1750$@DOM1,C1750,P25,End
199897,C1750$@DOM1,C1750,P25,Start
199897,C17788$@DOM1,C17788,P13,Start
199897,C1883$@DOM1,C1883,P59,End
199897,C1883$@DOM1,C1883,P59,Start
199897,C199$@DOM1,C199,P16,Start
199897,C2047$@DOM1,C2047,P16,Start
199897,C273$@DOM1,C273,P16,Start
199897,C3282$@DOM1,C3282,P16,Start
199897,C3374$@DOM1,C3374,P13,Start
199897,C486$@DOM1,C486,P159,Start
199897,C486$@DOM1,C486,P16,Start
199897,C6524$@DOM1,C6524,P16,Start
199897,C762$@DOM1,C762,P16,Start
199897,C7689$@DOM1,C7689,P23,Start
