time,user@domain,computer,process_name,start_end,class
4730161,C11902$@DOM1,C11902,P7,Start,0
4730161,C11912$@DOM1,C11912,P8,Start,0
4730161,C12107$@DOM1,C12107,P8,Start,0
4730161,C1226$@DOM1,C1226,P16,Start,0
4730161,C12665$@DOM1,C12665,P1896,End,0
4730161,C12665$@DOM1,C12665,P1896,Start,0
4730161,C12665$@DOM1,C12665,P1897,End,0
4730161,C12665$@DOM1,C12665,P1897,Start,0
4730161,C12665$@DOM1,C12665,P28,End,0
4730161,C12665$@DOM1,C12665,P28,Start,0
4730161,C12665$@DOM1,C12665,P29,End,0
4730161,C12665$@DOM1,C12665,P29,Start,0
4730161,C12665$@DOM1,C12665,P5,End,0
4730161,C12665$@DOM1,C12665,P5,Start,0
4730161,C12792$@DOM1,C12792,P8,Start,0
4730161,C12847$@DOM1,C12847,P7,Start,0
4730161,C12847$@DOM1,C12847,P8,Start,0
4730161,C12880$@DOM1,C12880,P5,Start,0
4730161,C12880$@DOM1,C12880,P7,Start,0
4730161,C12880$@DOM1,C12880,P8,Start,0
4730161,C14186$@DOM1,C14186,P8,Start,0
4730161,C14186$@DOM1,C14186,P96,Start,0
4730161,C14254$@DOM1,C14254,P8,Start,0
4730161,C14254$@DOM1,C14254,P96,Start,0
4730161,C1439$@DOM1,C1439,P8,Start,0
4730161,C14775$@DOM1,C14775,P8,Start,0
4730161,C15172$@DOM1,C15172,P16,Start,0
4730161,C15457$@DOM1,C15457,P5,Start,0
4730161,C15457$@DOM1,C15457,P7,Start,0
4730161,C15457$@DOM1,C15457,P8,Start,0
4730161,C15756$@DOM1,C15756,P8,Start,0
4730161,C15756$@DOM1,C15756,P96,Start,0
4730161,C1611$@DOM1,C1611,P5,Start,0
4730161,C1638$@DOM1,C1638,P8,End,0
4730161,C16533$@DOM1,C16533,P16,Start,0
4730161,C16850$@DOM1,C16850,P8,Start,0
4730161,C17021$@DOM1,C17021,P8,Start,0
4730161,C17159$@DOM1,C17159,P8,Start,0
4730161,C17418$@DOM1,C17418,P8,Start,0
4730161,C1745$@DOM1,C1745,P74,Start,0
4730161,C17788$@DOM1,C17788,P8,Start,0
4730161,C18018$@DOM1,C18018,P7,End,0
4730161,C18018$@DOM1,C18018,P7,Start,0
4730161,C18524$@DOM1,C18524,P16,Start,0
4730161,C18632$@DOM1,C18632,P5,Start,0
4730161,C18632$@DOM1,C18632,P7,Start,0
4730161,C18632$@DOM1,C18632,P8,Start,0
4730161,C1875$@DOM1,C1875,P147,End,0
4730161,C1875$@DOM1,C1875,P147,Start,0
4730161,C1875$@DOM1,C1875,P148,End,0
4730161,C1875$@DOM1,C1875,P148,Start,0
4730161,C1875$@DOM1,C1875,P8,Start,0
4730161,C1875$@DOM1,C1875,P96,End,0
4730161,C1875$@DOM1,C1875,P96,Start,0
4730161,C18947$@DOM1,C18947,P5,Start,0
4730161,C18947$@DOM1,C18947,P7,Start,0
4730161,C18947$@DOM1,C18947,P8,Start,0
4730161,C19094$@DOM1,C19094,P7,Start,0
4730161,C19797$@DOM1,C19797,P265,End,0
4730161,C19797$@DOM1,C19797,P265,Start,0
4730161,C19863$@DOM1,C19863,P7,Start,0
4730161,C19863$@DOM1,C19863,P8,Start,0
4730161,C19961$@DOM1,C19961,P7,Start,0
4730161,C19961$@DOM1,C19961,P8,Start,0
4730161,C20183$@DOM1,C20183,P14,Start,0
4730161,C21273$@DOM1,C21273,P8,Start,0
4730161,C21273$@DOM1,C21273,P96,Start,0
4730161,C2151$@DOM1,C2151,P7,Start,0
4730161,C2151$@DOM1,C2151,P8,Start,0
4730161,C21545$@DOM1,C21545,P96,Start,0
4730161,C2257$@DOM1,C2257,P7,Start,0
4730161,C227$@DOM1,C227,P11,Start,0
4730161,C227$@DOM1,C227,P5,Start,0
4730161,C2363$@DOM1,C2363,P16,End,0
4730161,C24017$@DOM1,C24017,P5,Start,0
4730161,C24017$@DOM1,C24017,P7,Start,0
4730161,C24017$@DOM1,C24017,P8,Start,0
4730161,C24322$@DOM1,C24322,P265,Start,0
4730161,C24414$@DOM1,C24414,P5,Start,0
4730161,C24414$@DOM1,C24414,P7,Start,0
4730161,C24414$@DOM1,C24414,P8,Start,0
4730161,C24699$@DOM1,C24699,P8,Start,0
4730161,C26055$@DOM1,C26055,P5,Start,0
4730161,C26055$@DOM1,C26055,P7,Start,0
4730161,C26055$@DOM1,C26055,P8,Start,0
4730161,C263$@DOM1,C263,P25,Start,0
4730161,C263$@DOM1,C263,P5,Start,0
4730161,C273$@DOM1,C273,P16,Start,0
4730161,C300$@DOM1,C300,P16,Start,0
4730161,C300$@DOM1,C300,P750,Start,1
4730161,C3199$@DOM1,C3199,P16,End,0
4730161,C350$@DOM1,C350,P16,Start,0
4730161,C370$@DOM1,C370,P5,Start,0
4730161,C370$@DOM1,C370,P7,Start,0
4730161,C370$@DOM1,C370,P8,Start,0
4730161,C3928$@DOM1,C3928,P8,Start,0
4730161,C456$@DOM1,C456,P16,End,0
4730161,C4580$@DOM1,C4580,P3732,Start,0
4730161,C49$@DOM1,C49,P16,Start,0
4730161,C523$@DOM1,C523,P25,Start,0
4730161,C523$@DOM1,C523,P5,Start,0
4730161,C553$@DOM1,C553,P25,End,0
4730161,C553$@DOM1,C553,P25,Start,0
4730161,C553$@DOM1,C553,P5,End,0
4730161,C553$@DOM1,C553,P5,Start,0
4730161,C5576$@DOM1,C5576,P5,Start,0
4730161,C5576$@DOM1,C5576,P7,Start,0
4730161,C5576$@DOM1,C5576,P8,Start,0
4730161,C6165$@DOM1,C6165,P8,Start,0
4730161,C6462$@DOM1,C6462,P96,Start,0
4730161,C6659$@DOM1,C6659,P5,Start,0
4730161,C6659$@DOM1,C6659,P7,Start,0
4730161,C6659$@DOM1,C6659,P8,Start,0
4730161,C6806$@DOM1,C6806,P5,Start,0
4730161,C6806$@DOM1,C6806,P7,Start,0
4730161,C6806$@DOM1,C6806,P8,Start,0
4730161,C6897$@DOM1,C6897,P16,End,0
4730161,C7032$@DOM1,C7032,P5,Start,0
4730161,C7032$@DOM1,C7032,P7,Start,0
4730161,C7032$@DOM1,C7032,P8,Start,0
4730161,C7097$@DOM1,C7097,P8,Start,0
4730161,C7270$@DOM1,C7270,P5,Start,0
4730161,C7270$@DOM1,C7270,P7,Start,0
4730161,C7388$@DOM1,C7388,P8,Start,0
4730161,C7388$@DOM1,C7388,P96,Start,0
4730161,C740$@DOM1,C740,P16,Start,0
4730161,C7620$@DOM1,C7620,P80,Start,0
4730161,C7637$@DOM1,C7637,P8,Start,0
4730161,C8196$@DOM1,C8196,P8,Start,0
4730161,C82$@DOM1,C82,P16,Start,0
4730161,C8287$@DOM1,C8287,P8,Start,0
4730161,C8585$@DOM1,C8585,P16,Start,0
4730161,C9418$@DOM1,C9418,P16,End,0
4730161,C976$@DOM1,C976,P13,Start,0
4730161,C976$@DOM1,C976,P14,Start,0
4730161,LOCAL SERVICE@C1139,C1139,P17,End,0
4730161,LOCAL SERVICE@C1139,C1139,P17,Start,0
4730161,LOCAL SERVICE@C1139,C1139,P5,End,0
4730161,LOCAL SERVICE@C12747,C12747,P90,Start,0
4730161,LOCAL SERVICE@C13945,C13945,P9,End,0
4730161,LOCAL SERVICE@C1611,C1611,P22,End,0
4730161,LOCAL SERVICE@C1611,C1611,P22,Start,0
4730161,LOCAL SERVICE@C1611,C1611,P5,End,0
4730161,U1096@DOM1,C3734,P80,Start,0
4730161,U1216@DOM1,C12880,P80,Start,0
4730161,U1235@DOM1,C17788,P183,Start,0
4730161,U1935@DOM1,C6039,P80,Start,0
4730161,U1977@DOM1,C6139,P80,Start,0
4730161,U2037@DOM1,C6223,P80,Start,0
4730161,U2088@DOM1,C6257,P80,Start,0
4730161,U209@DOM1,C1117,P80,Start,0
4730161,U215@DOM1,C260,P80,Start,0
4730161,U223@DOM1,C2434,P80,Start,0
4730161,U2288@DOM1,C6756,P80,Start,0
4730161,U3175@DOM1,C502,P80,Start,0
4730161,U4168@DOM1,C10364,P80,Start,0
4730161,U4419@DOM1,C11042,P80,Start,0
4730161,U4657@DOM1,C8970,P80,Start,0
4730161,U4866@DOM1,C11719,P80,Start,0
4730161,U5183@DOM1,C12230,P80,Start,0
4730161,U5990@DOM1,C32,P130,Start,0
4730161,U6304@DOM1,C24274,P80,Start,0
4730161,U67@C1933,C1933,P59,End,0
4730161,U67@C1933,C1933,P59,Start,0
4730161,U7424@DOM1,C16214,P80,Start,0
4730161,U7463@DOM1,C16291,P80,Start,0
4730161,U8062@DOM1,C17418,P96,Start,0
4730161,U8271@DOM1,C17796,P80,Start,0
4730161,U8864@DOM1,C18848,P80,Start,0
4730161,U9456@DOM1,C19938,P80,Start,0
4730162,C1008$@DOM1,C1008,P7,Start,0
4730162,C1008$@DOM1,C1008,P8,Start,0
4730162,C101$@DOM1,C101,P25,End,0
4730162,C101$@DOM1,C101,P25,Start,0
4730162,C101$@DOM1,C101,P5,End,0
4730162,C101$@DOM1,C101,P5,Start,0
4730162,C10109$@DOM1,C10109,P5,Start,0
4730162,C10109$@DOM1,C10109,P7,Start,0
4730162,C10109$@DOM1,C10109,P8,Start,0
4730162,C10317$@DOM1,C10317,P5,Start,0
4730162,C10317$@DOM1,C10317,P7,Start,0
4730162,C10518$@DOM1,C10518,P5,Start,0
4730162,C10518$@DOM1,C10518,P7,Start,0
4730162,C10518$@DOM1,C10518,P8,Start,0
4730162,C10599$@DOM1,C10599,P19,Start,0
4730162,C10741$@DOM1,C10741,P16,Start,0
4742030,U817@DOM1,C5496,P176,End,0
4742031,C10484$@DOM1,C10484,P176,Start,0
4742031,C10572$@DOM1,C10572,P16,Start,0
4742031,C11202$@DOM1,C11202,P5,End,0
4742031,C11202$@DOM1,C11202,P5,Start,0
4742031,C1180$@DOM1,C1180,P16,Start,0
4742031,C1200$@DOM1,C1200,P100,Start,0
4742031,C1200$@DOM1,C1200,P21,Start,0
4742031,C1200$@DOM1,C1200,P5,Start,0
4742031,C1200$@DOM1,C1200,P99,Start,0
4742031,C12006$@DOM1,C12006,P47,Start,0
4742031,C12156$@DOM1,C12156,P16,Start,0
4742031,C124$@DOM1,C124,P25,Start,0
4742031,C124$@DOM1,C124,P5,Start,0
4742031,C12670$@DOM1,C12670,P5,Start,0
4742031,C1284$@DOM1,C1284,P10,Start,0
4742031,C12897$@DOM1,C12897,P176,Start,0
4742031,C12992$@DOM1,C12992,P13,Start,0
4742031,C12992$@DOM1,C12992,P14,Start,0
4742031,C13148$@DOM1,C13148,P16,Start,0
4742031,C140$@DOM1,C140,P16,Start,0
4742031,C14309$@DOM1,C14309,P10,Start,0
4742031,C146$@DOM1,C146,P47,Start,0
4742031,C1475$@DOM1,C1475,P16,Start,0
4742031,C1567$@DOM1,C1567,P9,Start,0
4742031,C1624$@DOM1,C1624,P50,End,0
4742031,C1624$@DOM1,C1624,P50,Start,0
4742031,C16835$@DOM1,C16835,P16,Start,0
4742031,C16991$@DOM1,C16991,P16,Start,0
4742031,C18403$@DOM1,C18403,P16,Start,0
4742031,C18900$@DOM1,C18900,P10,Start,0
4742031,C19711$@DOM1,C19711,P19,Start,0
4742031,C19983$@DOM1,C19983,P16,End,0
4742031,C20325$@DOM1,C20325,P16,Start,0
4742031,C2039$@DOM1,C2039,P156,Start,0
4742031,C2039$@DOM1,C2039,P167,End,0
4742031,C20960$@DOM1,C20960,P16,Start,0
4742031,C2125$@DOM1,C2125,P21,Start,0
4742031,C223$@DOM1,C223,P5,End,0
4742031,C223$@DOM1,C223,P5,Start,0
4742031,C223$@DOM1,C223,P886,Start,0
4742031,C223$@DOM1,C223,P887,End,0
4742031,C223$@DOM1,C223,P887,Start,0
4742031,C236$@DOM1,C236,P12,Start,0
4742031,C236$@DOM1,C236,P5,Start,0
4742031,C25103$@DOM1,C25103,P16,Start,0
4742031,C2626$@DOM1,C2626,P134,Start,0
4742031,C2626$@DOM1,C2626,P151,End,0
4742031,C2626$@DOM1,C2626,P151,Start,0
4742031,C2626$@DOM1,C2626,P266,Start,0
4742031,C2626$@DOM1,C2626,P4,Start,0
4742031,C2626$@DOM1,C2626,P886,End,0
4742031,C2626$@DOM1,C2626,P886,Start,0
4742031,C2626$@DOM1,C2626,P887,End,0
4742031,C2626$@DOM1,C2626,P887,Start,0
4742031,C284$@DOM1,C284,P25,Start,0
4742031,C4378$@DOM1,C4378,P47,End,0
4742031,C5476$@DOM1,C5476,P176,Start,0
4742031,C584$@DOM1,C584,P19,Start,0
4742031,C596$@DOM1,C596,P16,Start,0
4742031,C7030$@DOM1,C7030,P59,Start,0
4742031,C300$@DOM1,C300,P750,End,2
4742031,C802$@DOM1,C802,P59,Start,0
4742031,C815$@DOM1,C815,P30,End,0
4742031,C815$@DOM1,C815,P30,Start,0
4742031,C838$@DOM1,C838,P10,Start,0
4742031,C865$@DOM1,C865,P16,Start,0
4742031,C8721$@DOM1,C8721,P16,Start,0
4742031,C9389$@DOM1,C9389,P5,Start,0
4742031,C942$@DOM1,C942,P16,Start,0
4742031,C982$@DOM1,C982,P16,Start,0
4742031,LOCAL SERVICE@C14433,C14433,P10,End,0
4742031,U10899@DOM3,C3421,P25,End,0
4742031,U10899@DOM3,C3421,P5,End,0
4742031,U2934@DOM1,C7889,P34,Start,0
4742031,U32@DOM1,C815,P28,End,0
4742031,U32@DOM1,C815,P29,End,0
4742031,U32@DOM1,C815,P29,Start,0
4742031,U3665@DOM1,C9389,P984,Start,0
4742031,U3805@DOM1,C9818,P34,Start,0
4742031,U4462@DOM1,C14284,P130,Start,0
4742031,U461@DOM1,C2039,P10,End,0
4742031,U461@DOM1,C2039,P1000,End,0
4742031,U461@DOM1,C2039,P159,End,0
